s.no,topic,title,url,labels,upvotes
925,PostgreSQL,Learn Database Design using PostgreSQL,https://www.eduonix.com/courses/Web-Development/Learn-Database-Design-using-PostgreSQL,"['Free', 'Video', 'Advanced']",0
926,Perl,Perl for Newbies,http://perl-begin.org/tutorials/perl-for-newbies/,"['Free', 'Beginner']",1
927,Perl,Think Perl 6,http://greenteapress.com/wp/think-perl-6/,"['Free', 'Book', 'Beginner', 'Perl 6']",1
928,Perl,Learn Perl 5 By Doing It,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/perltutorial/,"['Paid', 'Video', 'Beginner']",1
929,Perl,Mastering Perl,http://chimera.labs.oreilly.com/books/1234000001527/index.html,['Free'],1
930,Perl,Extreme Perl,http://www.extremeperl.org/bk/home,"['Free', 'Advanced']",1
931,PHP,Introduction to Programming with PHP,https://devscreencast.com/courses/introduction-to-programming-with-php,"['Free', 'Video', 'Beginner']",0
932,PHP,PHP The Right Way,http://www.phptherightway.com/,['Free'],91
933,PHP,PHP Tutorial,http://www.nusphere.com/php/php_tutorial.htm,['Free'],24
934,PHP,The complete PHP 5 tutorial,http://www.php5-tutorial.com/,['Free'],18
935,PHP,PHP Front To Back,https://www.youtube.com/playlist?list=PLillGF-Rfqbap2IB6ZS4BBBcYPagAjpjn,"['Free', 'Video', 'Beginner', 'PHP 7']",10
936,Phalcon,Learn Phalcon Php Framework from Scratch,https://www.eduonix.com/learn-phalcon-php-framework-from-scratch,"['Paid', 'Video', 'Beginner']",2
937,Phalcon,Phalcon Official Docs,https://docs.phalconphp.com/zh/3.2/tutorial-base,"['Free', 'Beginner']",1
938,Phalcon,Learn Phalcon (Basics to Creating a Shopping Cart),https://www.learnphalcon.com,"['Free', 'Beginner']",0
939,Phalcon,Phalcon Tutorial,https://www.javatpoint.com/phalcon-tutorial,"['Free', 'Beginner']",0
940,Phalcon,The Complete Phalcon Tutorial for Beginners,https://www.hostinger.in/tutorials/phalcon-tutorial,"['Free', 'Beginner']",0
941,PHP, PHP Tutorials by TheNewBoston,https://www.youtube.com/playlist?list=PL442FA2C127377F07,"['Free', 'Video']",5
942,PHP,Object-oriented PHP,https://phpenthusiast.com,"['Free', 'Beginner', 'PHP 7']",4
943,PHP,PHP The Wrong Way,http://www.phpthewrongway.com/,['Free'],4
944,PHP, PHP Programming Tutorials ,https://www.youtube.com/playlist?list=PL67D94BE42620925B,"['Free', 'Video']",4
945,PHP,PHP Tutorial,https://www.sololearn.com/Course/PHP/,"['Free', 'Beginner', 'PHP 5']",3
946,Polymer,Learn and Build using Polymer,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-and-build-using-polymer/,"['Paid', 'Video']",4
947,Polymer,An Introduction to Polymer,https://www.youtube.com/playlist?list=PLLnpHn493BHHbOWwQxtGCVfEgWZxxofyA,"['Free', 'Video']",2
948,Polymer,Learning Polymer,https://www.linkedin.com/learning/learning-polymer/,"['Paid', 'Video', 'Beginner']",1
949,PostgreSQL,Interactive PostgreSQL SQL Tutorial,https://chartio.com/learn/sql/,"['Free', 'Beginner']",0
950,PostgreSQL,PostgreSQL Tutorial (official docs),http://www.postgresql.org/docs/current/static/tutorial.html,['Free'],8
951,PostgreSQL,PostgreSQL Tutorial,https://www.tutorialspoint.com/postgresql/index.htm,"['Free', 'Advanced']",0
952,PostgreSQL,PostgreSQL Tutorial,http://postgresqltutorial.com,"['Free', 'Beginner']",0
953,PostgreSQL, Postgres Guide,http://www.postgresguide.com,['Free'],0
954,PHP, PHP Tutorials,https://www.youtube.com/playlist?list=PLB62A1B486A575897,"['Free', 'Video']",3
955,PowerShell,Learning Windows PowerShell,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learning-windows-powershell/,"['Paid', 'Video', 'Beginner']",1
956,PowerShell,Windows PowerShell Basics,http://www.awin1.com/cread.php?awinmid=6798&awinaffid=428263&p=https://www.edx.org/course/windows-powershell-basics-0,"['Free', 'Video', 'Beginner']",1
957,PowerShell,Powershell For Beginners,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/windows-powershell,"['Paid', 'Video', 'Beginner']",1
958,PowerShell,Learn Windows PowerShell in a Month of Lunches - Third Edition,https://www.manning.com/books/learn-windows-powershell-in-a-month-of-lunches-third-edition?a_aid=hackrio,"['Paid', 'Book', 'Advanced']",0
959,PowerShell,Learn PowerShell Toolmaking in a Month of Lunches,https://www.manning.com/books/learn-powershell-toolmaking-in-a-month-of-lunches?a_aid=hackrio,"['Paid', 'Book']",0
960,Puppet,Build your own Manageable Puppet Infrastructure,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/manageable-puppet-infrastructure/,"['Paid', 'Video']",4
961,Puppet,Puppet Tutorial by Zariga Tongy,https://www.youtube.com/playlist?list=PLrUFyg1unBb-mkbm_cWwHd0ziigVK2tzj,"['Free', 'Video']",2
962,Puppet,Puppet 5 – The Complete Beginner’s Guide,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/puppet-5-the-complete-beginners-guide,"['Paid', 'Video', 'Beginner', 'Puppet 5']",1
963,Puppet,Learn Puppet (official docs),https://puppet.com/download-learning-vm,['Free'],1
964,Python,Google's Python Class,https://developers.google.com/edu/python/,"['Free', 'Python 2']",213
965,Python,Complete Python Bootcamp,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/complete-python-bootcamp,"['Paid', 'Video', 'Beginner', 'Python 3']",196
966,Python,Automate the Boring Stuff with Python,http://automatetheboringstuff.com/,"['Free', 'Book']",93
967,Python,Official Python Tutorial,https://docs.python.org/3/tutorial/index.html,['Free'],74
